13:09:18.243 [commands] INFO  GenCommands - 9:10:8
14:24:44.724 [commands] INFO  GenCommands - 14:24:44.724338200 4:2:8
14:24:45.735 [commands] INFO  GenCommands - 14:24:45.735259200 6:10:1
14:24:46.736 [commands] INFO  GenCommands - 14:24:46.736170 1:7:4
14:24:47.747 [commands] INFO  GenCommands - 14:24:47.747090100 6:10:7
14:24:48.750 [commands] INFO  GenCommands - 14:24:48.750003500 5:7:8
14:24:49.762 [commands] INFO  GenCommands - 14:24:49.762925400 8:3:8
14:24:50.777 [commands] INFO  GenCommands - 14:24:50.777590400 3:7:6
14:24:51.778 [commands] INFO  GenCommands - 14:24:51.778585200 4:5:5
14:24:52.789 [commands] INFO  GenCommands - 14:24:52.789314500 1:9:3
14:24:53.804 [commands] INFO  GenCommands - 14:24:53.804402 3:5:8
14:24:54.815 [commands] INFO  GenCommands - 14:24:54.815322300 6:4:2
14:24:55.816 [commands] INFO  GenCommands - 14:24:55.816233500 6:4:1
14:24:56.817 [commands] INFO  GenCommands - 14:24:56.817144800 9:10:5
14:24:57.828 [commands] INFO  GenCommands - 14:24:57.828065200 8:6:8
14:24:58.832 [commands] INFO  GenCommands - 14:24:58.832210200 2:6:5
14:24:59.838 [commands] INFO  GenCommands - 14:24:59.838326500 5:3:8
14:25:00.849 [commands] INFO  GenCommands - 14:25:00.849975400 5:8:1
14:25:01.859 [commands] INFO  GenCommands - 14:25:01.859956200 6:4:1
14:25:02.867 [commands] INFO  GenCommands - 14:25:02.867872900 10:6:3
14:25:03.880 [commands] INFO  GenCommands - 14:25:03.880302600 3:9:3
14:25:04.885 [commands] INFO  GenCommands - 14:25:04.885217100 6:9:1
14:25:05.895 [commands] INFO  GenCommands - 14:25:05.895926900 2:10:6
14:25:06.904 [commands] INFO  GenCommands - 14:25:06.904997400 8:1:5
14:25:07.914 [commands] INFO  GenCommands - 14:25:07.914917300 2:7:8
14:25:08.921 [commands] INFO  GenCommands - 14:25:08.921210700 8:3:2
14:25:09.931 [commands] INFO  GenCommands - 14:25:09.931129700 5:8:7
14:25:10.943 [commands] INFO  GenCommands - 14:25:10.943050700 7:6:8
14:25:11.953 [commands] INFO  GenCommands - 14:25:11.953971100 2:3:6
14:25:12.963 [commands] INFO  GenCommands - 14:25:12.963890400 3:2:3
14:25:13.976 [commands] INFO  GenCommands - 14:25:13.976812500 3:8:8
14:25:14.992 [commands] INFO  GenCommands - 14:25:14.992189100 3:8:3
14:25:16.007 [commands] INFO  GenCommands - 14:25:16.007113400 4:6:7
14:25:17.022 [commands] INFO  GenCommands - 14:25:17.022037700 4:6:2
14:25:18.034 [commands] INFO  GenCommands - 14:25:18.034959300 1:4:6
14:25:19.049 [commands] INFO  GenCommands - 14:25:19.049883500 9:6:6
14:25:20.058 [commands] INFO  GenCommands - 14:25:20.058801800 5:1:6
14:25:21.065 [commands] INFO  GenCommands - 14:25:21.065718200 1:6:2
14:25:22.076 [commands] INFO  GenCommands - 14:25:22.076143300 1:4:2
14:25:23.089 [commands] INFO  GenCommands - 14:25:23.089995700 6:9:5
14:25:24.103 [commands] INFO  GenCommands - 14:25:24.103890800 1:3:2
14:25:25.116 [commands] INFO  GenCommands - 14:25:25.116246800 5:8:3
14:25:26.129 [commands] INFO  GenCommands - 14:25:26.129169500 3:4:8
14:25:27.138 [commands] INFO  GenCommands - 14:25:27.138087500 8:9:6
14:25:28.138 [commands] INFO  GenCommands - 14:25:28.138999300 1:6:3
14:25:29.139 [commands] INFO  GenCommands - 14:25:29.139910300 1:9:3
14:25:30.152 [commands] INFO  GenCommands - 14:25:30.152832300 6:4:1
14:25:31.166 [commands] INFO  GenCommands - 14:25:31.166755 4:8:2
14:25:32.167 [commands] INFO  GenCommands - 14:25:32.167250400 3:6:6
14:25:33.171 [commands] INFO  GenCommands - 14:25:33.171719900 9:8:6
14:25:34.185 [commands] INFO  GenCommands - 14:25:34.185151900 10:4:1
14:25:35.186 [commands] INFO  GenCommands - 14:25:35.186331800 2:7:4
14:25:36.189 [commands] INFO  GenCommands - 14:25:36.189245200 10:6:4
14:25:37.200 [commands] INFO  GenCommands - 14:25:37.200165500 10:2:7
14:25:38.215 [commands] INFO  GenCommands - 14:25:38.215089200 7:1:4
14:25:39.230 [commands] INFO  GenCommands - 14:25:39.230013300 6:7:4
14:25:40.241 [commands] INFO  GenCommands - 14:25:40.241124200 6:7:6
14:25:41.255 [commands] INFO  GenCommands - 14:25:41.255248100 1:7:4
14:25:42.268 [commands] INFO  GenCommands - 14:25:42.268258500 4:8:5
14:25:43.282 [commands] INFO  GenCommands - 14:25:43.282930400 1:10:2
14:25:44.297 [commands] INFO  GenCommands - 14:25:44.297854800 1:2:1
14:25:45.312 [commands] INFO  GenCommands - 14:25:45.312778700 4:5:2
14:25:46.325 [commands] INFO  GenCommands - 14:25:46.325700200 5:4:2
14:25:47.326 [commands] INFO  GenCommands - 14:25:47.326611400 4:5:6
14:25:48.334 [commands] INFO  GenCommands - 14:25:48.334083400 5:10:8
14:25:49.346 [commands] INFO  GenCommands - 14:25:49.346109800 10:3:2
14:25:50.350 [commands] INFO  GenCommands - 14:25:50.350013200 1:2:2
14:25:51.355 [commands] INFO  GenCommands - 14:25:51.355519400 4:2:7
14:25:52.365 [commands] INFO  GenCommands - 14:25:52.365907700 4:9:3
14:25:53.378 [commands] INFO  GenCommands - 14:25:53.378829600 8:2:8
14:25:54.383 [commands] INFO  GenCommands - 14:25:54.383744500 3:6:4
14:25:55.393 [commands] INFO  GenCommands - 14:25:55.393664 6:7:2
14:26:00.583 [commands] INFO  GenCommands - 14:26:00.582933 7:1:4
14:26:01.589 [commands] INFO  GenCommands - 14:26:01.589680600 9:8:1
14:26:02.593 [commands] INFO  GenCommands - 14:26:02.593056800 6:8:6
14:26:03.593 [commands] INFO  GenCommands - 14:26:03.593967300 7:8:2
14:26:04.594 [commands] INFO  GenCommands - 14:26:04.594878200 4:9:6
14:26:05.595 [commands] INFO  GenCommands - 14:26:05.595789200 1:5:5
14:26:06.596 [commands] INFO  GenCommands - 14:26:06.596700900 6:1:8
14:26:07.597 [commands] INFO  GenCommands - 14:26:07.597612400 4:3:1
14:26:08.598 [commands] INFO  GenCommands - 14:26:08.598085900 7:1:7
14:26:09.598 [commands] INFO  GenCommands - 14:26:09.598685 1:8:2
14:26:10.599 [commands] INFO  GenCommands - 14:26:10.599157 2:9:6
14:26:11.599 [commands] INFO  GenCommands - 14:26:11.599528700 1:6:3
14:26:12.600 [commands] INFO  GenCommands - 14:26:12.600440 4:10:2
14:26:13.601 [commands] INFO  GenCommands - 14:26:13.601351300 7:3:1
14:26:14.602 [commands] INFO  GenCommands - 14:26:14.602262700 10:7:6
14:26:15.603 [commands] INFO  GenCommands - 14:26:15.603173300 10:5:8
14:26:16.604 [commands] INFO  GenCommands - 14:26:16.604084800 10:2:3
14:26:17.607 [commands] INFO  GenCommands - 14:26:17.607292 7:10:7
14:26:18.607 [commands] INFO  GenCommands - 14:26:18.607794900 5:4:3
14:26:19.608 [commands] INFO  GenCommands - 14:26:19.608929800 4:2:7
14:26:20.609 [commands] INFO  GenCommands - 14:26:20.609840900 1:9:3
14:26:21.610 [commands] INFO  GenCommands - 14:26:21.610751800 3:9:5
14:26:22.611 [commands] INFO  GenCommands - 14:26:22.611663 3:10:7
14:26:23.612 [commands] INFO  GenCommands - 14:26:23.612574400 10:7:7
14:26:24.613 [commands] INFO  GenCommands - 14:26:24.613486200 5:7:1
14:26:25.614 [commands] INFO  GenCommands - 14:26:25.614396500 7:8:3
14:26:26.615 [commands] INFO  GenCommands - 14:26:26.615308200 3:9:4
14:26:27.615 [commands] INFO  GenCommands - 14:26:27.615625 1:9:6
14:26:42.563 [commands] INFO  GenCommands - 14:26:42.562122500 3:1:2
14:26:43.570 [commands] INFO  GenCommands - 14:26:43.570051 6:3:4
14:26:44.581 [commands] INFO  GenCommands - 14:26:44.581971900 10:9:5
14:26:45.593 [commands] INFO  GenCommands - 14:26:45.593893100 4:7:4
14:26:46.603 [commands] INFO  GenCommands - 14:26:46.603812700 10:4:2
14:26:47.604 [commands] INFO  GenCommands - 14:26:47.604318 3:8:2
14:26:48.614 [commands] INFO  GenCommands - 14:26:48.614006200 5:1:1
14:26:49.629 [commands] INFO  GenCommands - 14:26:49.629406400 4:5:8
14:26:50.630 [commands] INFO  GenCommands - 14:26:50.630100700 5:6:3
14:26:51.643 [commands] INFO  GenCommands - 14:26:51.643022300 5:2:5
14:26:52.656 [commands] INFO  GenCommands - 14:26:52.656945500 7:1:7
14:26:53.670 [commands] INFO  GenCommands - 14:26:53.670868 3:7:7
14:26:54.683 [commands] INFO  GenCommands - 14:26:54.683790800 9:8:6
14:26:55.696 [commands] INFO  GenCommands - 14:26:55.696712600 3:8:2
14:26:56.708 [commands] INFO  GenCommands - 14:26:56.708633800 1:6:7
14:26:57.721 [commands] INFO  GenCommands - 14:26:57.721555800 1:6:3
14:26:58.723 [commands] INFO  GenCommands - 14:26:58.723605600 3:4:7
14:26:59.734 [commands] INFO  GenCommands - 14:26:59.734449600 3:7:6
14:27:00.737 [commands] INFO  GenCommands - 14:27:00.737362100 9:8:8
14:27:01.738 [commands] INFO  GenCommands - 14:27:01.738273800 3:6:3
14:27:02.749 [commands] INFO  GenCommands - 14:27:02.749193500 3:5:8
14:27:03.754 [commands] INFO  GenCommands - 14:27:03.754109300 4:2:4
14:27:04.759 [commands] INFO  GenCommands - 14:27:04.759024100 1:9:8
14:27:05.759 [commands] INFO  GenCommands - 14:27:05.759946400 10:6:1
14:27:06.761 [commands] INFO  GenCommands - 14:27:06.761858100 10:2:6
14:27:07.763 [commands] INFO  GenCommands - 14:27:07.763275600 1:10:3
14:27:08.773 [commands] INFO  GenCommands - 14:27:08.773592500 1:10:1
14:27:09.776 [commands] INFO  GenCommands - 14:27:09.776332400 10:6:3
14:27:10.789 [commands] INFO  GenCommands - 14:27:10.789237100 8:9:1
14:27:11.802 [commands] INFO  GenCommands - 14:27:11.802158900 7:5:7
14:27:12.815 [commands] INFO  GenCommands - 14:27:12.815081300 1:9:5
14:27:13.828 [commands] INFO  GenCommands - 14:27:13.828003400 6:1:5
14:27:14.830 [commands] INFO  GenCommands - 14:27:14.830916500 2:9:7
14:27:15.841 [commands] INFO  GenCommands - 14:27:15.841837200 1:5:2
14:27:16.855 [commands] INFO  GenCommands - 14:27:16.855760300 7:1:6
14:27:17.858 [commands] INFO  GenCommands - 14:27:17.858462 1:6:2
14:27:18.872 [commands] INFO  GenCommands - 14:27:18.872424 3:1:2
14:27:19.881 [commands] INFO  GenCommands - 14:27:19.881133200 4:8:5
14:27:24.205 [commands] INFO  GenCommands - 14:27:24.203326400 9:5:3
14:27:25.208 [commands] INFO  GenCommands - 14:27:25.208288800 1:8:4
14:27:26.223 [commands] INFO  GenCommands - 14:27:26.223212400 6:4:6
14:27:27.235 [commands] INFO  GenCommands - 14:27:27.235385700 10:3:8
14:27:28.238 [commands] INFO  GenCommands - 14:27:28.238298400 10:3:6
14:27:29.251 [commands] INFO  GenCommands - 14:27:29.251220600 3:7:8
14:27:30.266 [commands] INFO  GenCommands - 14:27:30.266144500 9:7:8
14:27:31.281 [commands] INFO  GenCommands - 14:27:31.281068300 8:5:6
14:27:32.296 [commands] INFO  GenCommands - 14:27:32.296650600 4:3:7
14:27:33.303 [commands] INFO  GenCommands - 14:27:33.303997900 7:6:4
14:27:34.314 [commands] INFO  GenCommands - 14:27:34.314422400 8:2:4
14:27:35.329 [commands] INFO  GenCommands - 14:27:35.329345900 3:2:7
14:27:36.332 [commands] INFO  GenCommands - 14:27:36.332259100 10:8:4
14:27:37.347 [commands] INFO  GenCommands - 14:27:37.347183400 9:3:7
14:27:38.354 [commands] INFO  GenCommands - 14:27:38.354099400 4:5:6
14:27:39.367 [commands] INFO  GenCommands - 14:27:39.367241200 7:3:4
14:27:40.382 [commands] INFO  GenCommands - 14:27:40.382404300 4:7:1
14:27:41.383 [commands] INFO  GenCommands - 14:27:41.383076300 4:1:5
14:27:42.390 [commands] INFO  GenCommands - 14:27:42.390090500 4:9:6
14:27:43.391 [commands] INFO  GenCommands - 14:27:43.391183800 10:7:3
14:27:44.402 [commands] INFO  GenCommands - 14:27:44.402104500 7:6:1
14:27:45.417 [commands] INFO  GenCommands - 14:27:45.417027700 8:10:6
14:27:46.431 [commands] INFO  GenCommands - 14:27:46.431951900 2:5:8
14:27:47.439 [commands] INFO  GenCommands - 14:27:47.439375300 6:3:6
14:27:48.450 [commands] INFO  GenCommands - 14:27:48.450295700 10:6:6
14:27:49.460 [commands] INFO  GenCommands - 14:27:49.460258200 3:4:2
14:27:50.468 [commands] INFO  GenCommands - 14:27:50.468781400 1:2:1
14:27:51.473 [commands] INFO  GenCommands - 14:27:51.473074700 10:3:3
14:27:52.483 [commands] INFO  GenCommands - 14:27:52.483994700 3:7:5
14:27:53.498 [commands] INFO  GenCommands - 14:27:53.498918600 10:9:8
14:27:54.513 [commands] INFO  GenCommands - 14:27:54.513842700 3:5:5
14:27:55.522 [commands] INFO  GenCommands - 14:27:55.522761200 9:2:5
14:27:56.523 [commands] INFO  GenCommands - 14:27:56.523133400 6:10:4
14:27:57.526 [commands] INFO  GenCommands - 14:27:57.526901300 7:10:1
14:27:58.537 [commands] INFO  GenCommands - 14:27:58.537775400 4:2:6
14:27:59.541 [commands] INFO  GenCommands - 14:27:59.541297200 8:9:1
14:28:00.549 [commands] INFO  GenCommands - 14:28:00.549539300 8:4:7
14:28:01.552 [commands] INFO  GenCommands - 14:28:01.552751400 4:3:3
14:28:02.553 [commands] INFO  GenCommands - 14:28:02.553663200 1:4:4
14:28:03.568 [commands] INFO  GenCommands - 14:28:03.568587100 7:6:7
14:28:04.581 [commands] INFO  GenCommands - 14:28:04.581509 3:10:4
14:28:05.592 [commands] INFO  GenCommands - 14:28:05.592429700 9:8:2
14:28:06.600 [commands] INFO  GenCommands - 14:28:06.600118700 10:1:2
14:28:07.600 [commands] INFO  GenCommands - 14:28:07.600903900 9:1:5
14:28:08.607 [commands] INFO  GenCommands - 14:28:08.607304900 6:3:2
14:28:09.609 [commands] INFO  GenCommands - 14:28:09.609070200 9:7:6
14:28:10.619 [commands] INFO  GenCommands - 14:28:10.619283400 6:3:3
14:28:11.629 [commands] INFO  GenCommands - 14:28:11.629203300 9:8:3
14:28:12.643 [commands] INFO  GenCommands - 14:28:12.643125900 2:1:2
14:28:13.654 [commands] INFO  GenCommands - 14:28:13.654046600 6:10:2
14:28:14.662 [commands] INFO  GenCommands - 14:28:14.662965800 3:1:5
14:28:15.665 [commands] INFO  GenCommands - 14:28:15.665098500 6:1:6
14:28:16.673 [commands] INFO  GenCommands - 14:28:16.673233100 3:7:7
14:28:17.673 [commands] INFO  GenCommands - 14:28:17.673999800 7:4:1
14:28:18.684 [commands] INFO  GenCommands - 14:28:18.684470700 9:5:1
14:28:19.693 [commands] INFO  GenCommands - 14:28:19.693809500 4:8:4
14:28:20.702 [commands] INFO  GenCommands - 14:28:20.702727100 2:3:5
14:28:21.711 [commands] INFO  GenCommands - 14:28:21.711645800 1:10:8
14:28:22.726 [commands] INFO  GenCommands - 14:28:22.726569800 7:6:5
14:28:23.759 [commands] INFO  GenCommands - 14:28:23.757509500 3:10:6
14:28:24.765 [commands] INFO  GenCommands - 14:28:24.765623200 7:3:7
14:28:25.775 [commands] INFO  GenCommands - 14:28:25.775357400 2:7:5
14:28:26.780 [commands] INFO  GenCommands - 14:28:26.780024200 6:9:7
14:28:27.785 [commands] INFO  GenCommands - 14:28:27.785377100 4:9:6
14:28:28.788 [commands] INFO  GenCommands - 14:28:28.788290400 5:6:3
14:28:29.791 [commands] INFO  GenCommands - 14:28:29.791204100 7:2:8
14:28:30.806 [commands] INFO  GenCommands - 14:28:30.806127 6:3:5
14:28:31.821 [commands] INFO  GenCommands - 14:28:31.821051300 9:10:6
14:28:32.831 [commands] INFO  GenCommands - 14:28:32.831310 7:6:2
14:28:33.840 [commands] INFO  GenCommands - 14:28:33.840884200 7:5:1
14:28:34.841 [commands] INFO  GenCommands - 14:28:34.841927100 8:6:7
14:28:35.847 [commands] INFO  GenCommands - 14:28:35.847842300 5:7:7
